Date,Highe,Lowe,Open,Close
2009-01-01,881.4481409001958,879.0998043052838,879.0998043052838,881.4481409001958
2009-01-02,886.614481409002,866.8884540117417,881.4481409001958,876.7514677103718
2009-01-05,883.3268101761253,843.8747553816047,876.7514677103718,858.9041095890411
2009-01-06,869.2367906066536,838.7084148727985,858.9041095890411,863.600782778865
2009-01-07,865.949119373777,834.9510763209394,863.600782778865,841.9960861056752
2009-01-08,864.0704500978474,833.0724070450098,841.9960861056752,856.0861056751468
2009-01-09,867.3581213307241,843.8747553816047,856.0861056751468,853.2681017612524
2009-01-12,855.6164383561644,814.7553816046967,853.2681017612524,819.4520547945206
2009-01-13,829.3150684931506,813.3463796477495,819.4520547945206,820.8610567514677
2009-01-14,828.3757338551859,806.3013698630137,820.8610567514677,810.5283757338552
2009-01-15,820.3913894324853,801.6046966731899,810.5283757338552,817.5733855185911
2009-01-16,842.4657534246576,815.6947162426615,817.5733855185911,842.4657534246576
2009-01-19,845.2837573385518,831.1937377690803,842.4657534246576,834.481409001957
2009-01-20,865.4794520547946,823.2093933463797,834.481409001957,854.6771037181996
2009-01-21,863.600782778865,842.4657534246576,854.6771037181996,853.7377690802348
2009-01-22,861.7221135029354,842.93542074364,853.7377690802348,855.6164383561644
2009-01-23,902.1135029354208,851.8590998043053,855.6164383561644,897.8864970645793
2009-01-26,915.2641878669276,888.9628180039139,897.8864970645793,902.5831702544032
2009-01-27,906.8101761252447,891.7808219178082,902.5831702544032,896.9471624266145
2009-01-28,902.5831702544032,879.0998043052838,896.9471624266145,885.6751467710371
2009-01-29,908.6888454011741,868.2974559686888,885.6751467710371,906.8101761252447
2009-01-30,930.293542074364,901.1741682974559,906.8101761252447,915.73385518591
2009-02-02,927.945205479452,900.7045009784736,927.0058708414873,903.5225048923679
2009-02-03,911.9765166340509,887.0841487279844,903.5225048923679,900.2348336594912
2009-02-04,908.6888454011741,894.5988258317026,900.2348336594912,904.931506849315
2009-02-05,923.7181996086106,901.6438356164383,904.931506849315,913.8551859099805
2009-02-06,921.3698630136986,903.5225048923679,913.8551859099805,909.6281800391389
2009-02-09,911.5068493150685,890.3718199608611,909.6281800391389,895.068493150685
2009-02-10,917.6125244618395,890.3718199608611,895.068493150685,914.3248532289629
2009-02-11,946.2622309197652,910.0978473581214,914.3248532289629,938.2778864970646
2009-02-12,951.4285714285714,934.5205479452055,938.2778864970646,944.853228962818
2009-02-13,946.2622309197652,931.7025440313112,944.853228962818,940.6262230919765
2009-02-16,943.4442270058709,935.9295499021526,940.6262230919765,941.0958904109589
2009-02-17,973.0332681017612,939.6868884540118,941.0958904109589,968.3365949119374
2009-02-18,984.3052837573385,960.3522504892368,968.3365949119374,984.3052837573385
2009-02-19,985.7142857142857,968.3365949119374,984.3052837573385,973.972602739726
2009-02-20,1005.440313111546,969.7455968688845,973.972602739726,992.7592954990215
2009-02-23,997.4559686888454,975.3816046966732,992.7592954990215,991.3502935420744
2009-02-24,994.6379647749511,958.9432485322897,991.3502935420744,962.7005870841488
2009-02-25,977.2602739726027,943.9138943248532,962.7005870841488,952.3679060665362
2009-02-26,955.6555772994129,931.2328767123288,952.3679060665362,944.853228962818
2009-02-27,961.761252446184,927.0058708414873,944.853228962818,944.3835616438356
2009-03-02,958.0039138943248,925.1272015655577,939.2172211350294,925.1272015655577
2009-03-03,932.1722113502935,904.4618395303327,925.1272015655577,915.73385518591
2009-03-04,922.7788649706458,901.1741682974559,915.73385518591,906.8101761252447
2009-03-05,935.9295499021526,904.931506849315,906.8101761252447,932.1722113502935
2009-03-06,944.3835616438356,929.3542074363992,932.1722113502935,938.747553816047
2009-03-09,941.5655577299412,910.5675146771038,938.747553816047,921.3698630136986
2009-03-10,921.8395303326811,890.3718199608611,921.3698630136986,895.5381604696673
2009-03-11,912.4461839530333,891.7808219178082,895.5381604696673,905.8708414872799
2009-03-12,930.293542074364,905.4011741682974,905.8708414872799,926.0665362035224
2009-03-13,938.2778864970646,919.0215264187867,926.0665362035224,927.4755381604697
2009-03-16,929.3542074363992,914.7945205479452,927.4755381604697,923.2485322896282
2009-03-17,923.7181996086106,911.5068493150685,923.2485322896282,914.3248532289629
2009-03-18,944.853228962818,883.3268101761253,914.3248532289629,939.2172211350294
2009-03-19,961.2915851272015,925.1272015655577,939.2172211350294,958.0039138943248
2009-03-20,966.4579256360079,945.7925636007828,958.0039138943248,950.0195694716242
2009-03-23,957.06457925636,936.8688845401174,950.0195694716242,936.8688845401174
2009-03-24,943.4442270058709,917.1428571428571,936.8688845401174,926.0665362035224
2009-03-25,939.6868884540118,916.2035225048924,926.0665362035224,933.1115459882583
2009-03-26,944.853228962818,931.7025440313112,933.1115459882583,933.5812133072407
2009-03-27,935.4598825831703,918.5518590998043,933.5812133072407,923.2485322896282
2009-03-30,931.7025440313112,907.279843444227,923.2485322896282,916.6731898238747
2009-03-31,924.187866927593,911.5068493150685,916.6731898238747,918.082191780822
